x0,x1
0.717108,0.512912
0.717293,0.513178
0.717475,0.513438
0.717657,0.513702
0.717836,0.513964
0.718017,0.514233
0.7182,0.514495
0.718388,0.51476
0.71857,0.515025
0.718753,0.515285
0.718935,0.515565
0.719117,0.515825
0.719289,0.516085
0.71947,0.516345
0.719672,0.516585
0.719852,0.516845
0.720033,0.517125
0.720213,0.517385
0.720392,0.517651
0.720571,0.517915
0.720752,0.518171
0.720935,0.518435
0.721111,0.518691
0.721307,0.518953
0.721479,0.519225
0.721659,0.519485
0.72184,0.519745
0.72202,0.520002
0.722196,0.520262
0.722372,0.520522
0.722547,0.520782
0.722742,0.521042
0.722902,0.521302
0.723096,0.521562
0.723275,0.521822
0.723441,0.522082
0.723624,0.522346
0.723809,0.522606
0.723986,0.522866
0.724164,0.523127
0.724331,0.523385
0.724519,0.52364
0.724694,0.523895
0.724874,0.524155
0.725045,0.524415
0.725235,0.524655
0.725389,0.524935
0.725578,0.525175
0.725747,0.525435
0.725936,0.52569
0.726104,0.52595
0.726274,0.526205
0.726451,0.526461
0.726635,0.526713
0.726809,0.526958
0.726981,0.527217
0.727155,0.527457
0.727317,0.527716
0.727487,0.527956
0.727669,0.528218
0.727839,0.528481
0.728012,0.528739
0.728188,0.528991
0.728362,0.529241
0.728536,0.529494
0.728709,0.52975
0.728884,0.530003
0.729048,0.530263
0.72923,0.530513
0.729392,0.530769
0.729575,0.531015
0.729745,0.53127
0.729917,0.531513
0.730091,0.531763
0.730261,0.532019
0.730431,0.532275
0.730602,0.532523
0.730772,0.532771
0.730945,0.533024
0.731125,0.533272
0.731288,0.533528
0.731464,0.533776
0.731635,0.534029
0.731803,0.534281
0.731973,0.534537
0.732149,0.534785
0.732316,0.535041
0.732483,0.535297
0.732659,0.535545
0.732826,0.535791
0.732992,0.536047
0.733174,0.536295
0.733336,0.536548
0.73352,0.536798
0.733678,0.537048
0.733849,0.537294
0.734019,0.537544
0.734187,0.537793
0.73435,0.538033
0.734514,0.538273
0.73468,0.53852
0.734855,0.53877
0.73502,0.539015
0.735185,0.53926
0.735354,0.539505
0.735514,0.539753
0.735678,0.539998
0.735848,0.540238
0.736024,0.540473
0.736182,0.540713
0.736342,0.540956
0.736504,0.541206
0.736666,0.541451
0.736832,0.541696
0.736996,0.541956
0.737172,0.542206
0.737339,0.542446
0.73752,0.542686
0.737677,0.542934
0.737842,0.543174
0.738007,0.543423
0.738167,0.54367
0.738346,0.54393
0.738497,0.544175
0.738667,0.544415
0.73883,0.544655
0.738977,0.5449
0.73914,0.54514
0.739301,0.54538
0.739483,0.54562
0.739644,0.545865
0.739805,0.546105
0.739965,0.546345
0.740145,0.546585
0.740305,0.54683
0.740465,0.54709
0.740619,0.54733
0.740778,0.54757
0.740956,0.547808
0.741099,0.548048
0.741257,0.548288
0.741435,0.548528
0.741592,0.548768
0.741748,0.549008
0.741925,0.549248
0.742101,0.549488
0.742237,0.549733
0.742413,0.549973
0.742568,0.550213
0.742723,0.550453
0.742867,0.550693
0.743032,0.550913
0.743206,0.551133
0.743359,0.551373
0.743512,0.551613
0.743665,0.551853
0.743818,0.552093
0.743981,0.552333
0.744135,0.552568
0.744299,0.552808
0.74446,0.553048
0.744631,0.553285
0.744787,0.553525
0.744932,0.553765
